train_perplexity_conv_lstm_transfer_learning,test_perplexity_conv_lstm_transfer_learning,train_loss_conv_lstm_transfer_learning,test_loss_conv_lstm_transfer_learning
"tf.Tensor(2.33691, shape=(), dtype=float32)","tf.Tensor(2204.729, shape=(), dtype=float32)","tf.Tensor(0.85585225, shape=(), dtype=float32)","tf.Tensor(0.84617317, shape=(), dtype=float32)"
"tf.Tensor(2.231422, shape=(), dtype=float32)","tf.Tensor(2375.7861, shape=(), dtype=float32)","tf.Tensor(0.8173288, shape=(), dtype=float32)","tf.Tensor(0.8525005, shape=(), dtype=float32)"
"tf.Tensor(2.1410034, shape=(), dtype=float32)","tf.Tensor(2464.357, shape=(), dtype=float32)","tf.Tensor(0.7825798, shape=(), dtype=float32)","tf.Tensor(0.8556808, shape=(), dtype=float32)"
"tf.Tensor(2.0669327, shape=(), dtype=float32)","tf.Tensor(2468.296, shape=(), dtype=float32)","tf.Tensor(0.7531185, shape=(), dtype=float32)","tf.Tensor(0.8567059, shape=(), dtype=float32)"
"tf.Tensor(1.9865628, shape=(), dtype=float32)","tf.Tensor(2401.421, shape=(), dtype=float32)","tf.Tensor(0.7198793, shape=(), dtype=float32)","tf.Tensor(0.85319513, shape=(), dtype=float32)"
"tf.Tensor(1.9085817, shape=(), dtype=float32)","tf.Tensor(2691.7498, shape=(), dtype=float32)","tf.Tensor(0.6863832, shape=(), dtype=float32)","tf.Tensor(0.8619148, shape=(), dtype=float32)"
"tf.Tensor(1.840495, shape=(), dtype=float32)","tf.Tensor(2995.4824, shape=(), dtype=float32)","tf.Tensor(0.65605056, shape=(), dtype=float32)","tf.Tensor(0.8714386, shape=(), dtype=float32)"
"tf.Tensor(1.7743039, shape=(), dtype=float32)","tf.Tensor(3096.8767, shape=(), dtype=float32)","tf.Tensor(0.62528646, shape=(), dtype=float32)","tf.Tensor(0.87450546, shape=(), dtype=float32)"
"tf.Tensor(1.7247347, shape=(), dtype=float32)","tf.Tensor(3034.449, shape=(), dtype=float32)","tf.Tensor(0.6015537, shape=(), dtype=float32)","tf.Tensor(0.8724406, shape=(), dtype=float32)"
"tf.Tensor(1.6909202, shape=(), dtype=float32)","tf.Tensor(2953.6199, shape=(), dtype=float32)","tf.Tensor(0.5850242, shape=(), dtype=float32)","tf.Tensor(0.87001354, shape=(), dtype=float32)"
